#  idx_gal   shID  Ngali  Ngalf    Rij(kpc)  size(kpc)  sigm(km/s)  Pmin(ds)    GrNr    x(kpc)    y(kpc)   V_LOS(km/s)
    102      102      0      0        0.00       0.00       0.00    -1.0000      -1   23093.63    3701.95  482744.59
    103      103      0      0        0.00       0.00       0.00    -1.0000      -1  -36102.52  -18168.97  524998.26
    104      104      0      0        0.00       0.00       0.00    -1.0000      -1   86910.69    1503.07  528950.57
    105      105      0      0        0.00       0.00       0.00    -1.0000      -1   87323.65   24312.67  132400.37
    106      106      0      0        0.00       0.00       0.00    -1.0000      -1   95005.36   46542.23  917998.76
    107      107      0      0        0.00       0.00       0.00    -1.0000      -1  118047.22   21935.23 1165131.37
    108      108      0      0        0.00       0.00       0.00    -1.0000      -1   65777.59   28130.15 2179304.49
    109      109      0      0        0.00       0.00       0.00    -1.0000      -1   58955.59   61745.58 -768073.43
    110      110      0      0        0.00       0.00       0.00    -1.0000      -1   83764.52   58269.72 -1231554.52
    111      111      9      9   124985.60    4608.06  327646.68     0.2590      15  127713.71   10351.39  333541.10
    112      112      0      0        0.00       0.00       0.00    -1.0000      -1   23779.34   41979.78  -81666.77
    113      113      0      0        0.00       0.00       0.00    -1.0000      -1   38350.75   22388.58 -324029.27
    114      114      0      0        0.00       0.00       0.00    -1.0000      -1   62833.84   61300.73  737399.98
    115      115      0      0        0.00       0.00       0.00    -1.0000      -1   76830.22   50005.25  349955.14
    116      116      0      0        0.00       0.00       0.00    -1.0000      -1  141075.43   30628.92  177332.76
    117      117      6      6    69150.63     415.10  307902.84     0.0340      16   37960.60   48840.15  631837.72
    118      118      0      0        0.00       0.00       0.00    -1.0000      -1   52007.43   37972.63  575987.35
    119      119      0      0        0.00       0.00       0.00    -1.0000      -1   58214.97   29252.30   72478.27
    120      120      0      0        0.00       0.00       0.00    -1.0000      -1  123758.60   47222.13 1131553.35
    121      121      0      0        0.00       0.00       0.00    -1.0000      -1   55063.03   23667.08  912327.67
    122      122      0      0        0.00       0.00       0.00    -1.0000      -1   50140.39   16505.32  -16088.50
    123      123      0      0        0.00       0.00       0.00    -1.0000      -1   36288.67    9733.32  380168.84
    124      124      0      0        0.00       0.00       0.00    -1.0000      -1   79592.56   30638.53 -1072681.26
    125      125      0      0        0.00       0.00       0.00    -1.0000      -1  114769.42   28790.85 1182473.07
    126      126      6      6    69150.63     415.10  307902.84     0.3080      16   51563.12   58014.28  206579.84
    127      127      0      0        0.00       0.00       0.00    -1.0000      -1   67087.39   37011.57 -279556.96
    128      128      6      6    20532.13   20515.48  201556.94     0.0790      10   -1616.37   11015.17  441462.59
    129      129      0      0        0.00       0.00       0.00    -1.0000      -1  107509.04   39619.21  669518.38
    130      130     12     12    77843.86    3300.81  735583.84     0.1210      11   75834.50   16241.12 -1246677.80
    131      131      6      6   104065.01   26013.79  164555.16     0.2280      12  -67067.81   79951.69  446117.95
    132      132      0      0        0.00       0.00       0.00    -1.0000      -1   97727.71   43989.78  889700.57
    133      133      0      0        0.00       0.00       0.00    -1.0000      -1   65348.45   -5661.25 1290720.00
    134      134      0      0        0.00       0.00       0.00    -1.0000      -1   94946.04    1571.36  696432.52
    135      135      0      0        0.00       0.00       0.00    -1.0000      -1   45687.97  -10360.53 -1019497.56
    136      136      0      0        0.00       0.00       0.00    -1.0000      -1   53121.39   25533.20 -1206965.27
    137      137      0      0        0.00       0.00       0.00    -1.0000      -1   81617.39   42434.54  688822.50
    138      138      3      3    74499.90    1292.33   23332.46     0.0280       8   65715.13   38116.31 -546835.45
    139      139      9      9   124985.60    4608.06  327646.68     0.0370      15  114616.89   -2305.73 -446741.45
    140      140      0      0        0.00       0.00       0.00    -1.0000      -1   80760.81   53524.27 -156422.26
    141      141      0      0        0.00       0.00       0.00    -1.0000      -1   48468.48   16875.48  405771.65
    142      142      0      0        0.00       0.00       0.00    -1.0000      -1   54324.21   13376.59 -816599.54
    143      143      0      0        0.00       0.00       0.00    -1.0000      -1   70235.44   44817.31 1653641.60
    144      144      0      0        0.00       0.00       0.00    -1.0000      -1   44274.24   10529.06  199559.77
    145      145      0      0        0.00       0.00       0.00    -1.0000      -1   63370.87   25404.25 -1430717.40
    146      146      0      0        0.00       0.00       0.00    -1.0000      -1   87919.35  -12379.15 -458394.65
    147      147      0      0        0.00       0.00       0.00    -1.0000      -1   85512.06  -16359.05  -48465.54
    148      148      0      0        0.00       0.00       0.00    -1.0000      -1   66383.76   29777.92 -408577.37
    149      149      0      0        0.00       0.00       0.00    -1.0000      -1   58914.85   25050.70 -148523.62
    150      150      0      0        0.00       0.00       0.00    -1.0000      -1   79154.62   22934.53  711193.82
    151      151      0      0        0.00       0.00       0.00    -1.0000      -1   94859.27   39991.90  563522.51
    152      152      0      0        0.00       0.00       0.00    -1.0000      -1   66118.77   25703.66  697996.14
    153      153      0      0        0.00       0.00       0.00    -1.0000      -1   72299.71   35695.85 -447594.60
    154      154      0      0        0.00       0.00       0.00    -1.0000      -1   47519.79    4275.76 -449275.31
    155      155      0      0        0.00       0.00       0.00    -1.0000      -1   81922.59   33954.93  375174.35
    156      156      0      0        0.00       0.00       0.00    -1.0000      -1   74653.64   33112.84  503240.36
    157      157      0      0        0.00       0.00       0.00    -1.0000      -1   78004.69   24315.59 1233273.79
    158      158      0      0        0.00       0.00       0.00    -1.0000      -1   67402.45  -17783.77  183061.33
    159      159     15     15    37104.30    3617.79  790895.66     0.0440       6   17850.34   33072.46  563705.35
    160      160      0      0        0.00       0.00       0.00    -1.0000      -1   62835.03   25683.08 1129178.28
    161      161      0      0        0.00       0.00       0.00    -1.0000      -1   68195.36   18482.45 -706416.17
    162      162      0      0        0.00       0.00       0.00    -1.0000      -1   66729.47   15608.31 1231054.27
    163      163      0      0        0.00       0.00       0.00    -1.0000      -1   70516.15   35918.77  347739.58
    164      164      0      0        0.00       0.00       0.00    -1.0000      -1   11914.23   12794.19 -568780.76
    165      165      0      0        0.00       0.00       0.00    -1.0000      -1   34129.08   30147.88 1197951.03
    166      166     12     12    77843.86    3300.81  735583.84     0.0790      11   72533.89   14635.64 -1639638.53
    167      167      0      0        0.00       0.00       0.00    -1.0000      -1   51535.87   40980.74 -143732.73
    168      168     15     15    37104.30    3617.79  790895.66     0.3390       6   23012.53   35860.06  250249.99
    169      169      0      0        0.00       0.00       0.00    -1.0000      -1   55377.60   26647.23 -480081.65
    170      170      0      0        0.00       0.00       0.00    -1.0000      -1   36263.77  -14675.03  990914.49
    171      171      0      0        0.00       0.00       0.00    -1.0000      -1   62097.29   27975.59  523815.45
    172      172     15     15    37104.30    3617.79  790895.66     0.0000       6   12816.64   30337.25  130183.12
    173      173      0      0        0.00       0.00       0.00    -1.0000      -1   56617.08   18776.11 -102502.06
    174      174      0      0        0.00       0.00       0.00    -1.0000      -1  -24723.76   19996.42  251201.82
    175      175      0      0        0.00       0.00       0.00    -1.0000      -1   23695.35   16204.82  319548.34
    176      176     12     12    77843.86    3300.81  735583.84     0.1080      11   74265.03   16920.89  126401.86
    177      177      0      0        0.00       0.00       0.00    -1.0000      -1  132170.93   34308.05  962212.77
    178      178     12     12    77843.86    3300.81  735583.84     0.2530      11   81127.06   20646.58 -1326991.25
    179      179      0      0        0.00       0.00       0.00    -1.0000      -1  110435.36   43738.26 -805653.09
    180      180      0      0        0.00       0.00       0.00    -1.0000      -1   60363.26   34853.86 -324175.36
    181      181      0      0        0.00       0.00       0.00    -1.0000      -1   65183.37   26205.15 -636240.79
    182      182      0      0        0.00       0.00       0.00    -1.0000      -1  121307.58   41738.85  993138.22
    183      183      0      0        0.00       0.00       0.00    -1.0000      -1  119028.60   23845.80 -1085809.63
    184      184      0      0        0.00       0.00       0.00    -1.0000      -1   20610.47   45977.21  407537.38
    185      185      3      3    74499.90    1292.33   23332.46     0.0000       8   63292.37   37599.32 -514224.88
    186      186      0      0        0.00       0.00       0.00    -1.0000      -1  105472.91   26239.85 1001079.60
    187      187      0      0        0.00       0.00       0.00    -1.0000      -1   88228.15   31448.96 -1337654.87
    188      188      0      0        0.00       0.00       0.00    -1.0000      -1   98543.04   -5550.25 -542189.94
    189      189      0      0        0.00       0.00       0.00    -1.0000      -1   77798.72   23820.79 -719364.99
    190      190      0      0        0.00       0.00       0.00    -1.0000      -1   78193.64   -2285.77 -496481.79
    191      191      6      6    69150.63     415.10  307902.84     0.0300      16   37552.15   47120.00 1071719.41
    192      192      0      0        0.00       0.00       0.00    -1.0000      -1   57660.97   26650.11    7824.85
    193      193      0      0        0.00       0.00       0.00    -1.0000      -1   57361.70   42607.09 -747367.93
    194      194      0      0        0.00       0.00       0.00    -1.0000      -1   54324.00   23257.34 1021255.15
    195      195     12     12    77843.86    3300.81  735583.84     0.0200      11   74702.24    7832.95 -579739.86
    196      196      0      0        0.00       0.00       0.00    -1.0000      -1  130659.11   47476.25 -571276.25
    197      197      0      0        0.00       0.00       0.00    -1.0000      -1  119076.54   29154.36 -634301.58
    198      198      0      0        0.00       0.00       0.00    -1.0000      -1   95577.76   59696.21 -251959.83
    199      199      0      0        0.00       0.00       0.00    -1.0000      -1  123873.12   51491.86 -578365.72
    200      200      0      0        0.00       0.00       0.00    -1.0000      -1  115539.87   42870.82 -461143.90
    201      201      0      0        0.00       0.00       0.00    -1.0000      -1  116352.25   55291.75 -167242.03
    202      202      0      0        0.00       0.00       0.00    -1.0000      -1  118322.71   45815.87 -491116.69
    203      203      0      0        0.00       0.00       0.00    -1.0000      -1   54943.55   62026.27 1339542.14
    204      204      0      0        0.00       0.00       0.00    -1.0000      -1  110504.80   36380.73 -933314.16
    205      205      0      0        0.00       0.00       0.00    -1.0000      -1  117136.36   44539.09  200375.16
    206      206      0      0        0.00       0.00       0.00    -1.0000      -1  123701.76   49216.86 -509370.14
    207      207      0      0        0.00       0.00       0.00    -1.0000      -1  112517.43   58199.22   75543.62
    208      208      6      6   174276.85   40107.60  173622.15     0.0220      14  119213.57   62759.43   81647.91
    209      209      0      0        0.00       0.00       0.00    -1.0000      -1  118601.38   46003.52 -906329.51
    210      210      0      0        0.00       0.00       0.00    -1.0000      -1  125515.10   47295.83 -787947.84
    211      211     15     15    37104.30    3617.79  790895.66     0.2450       6   23014.28   30876.77 -571384.75
    212      212      0      0        0.00       0.00       0.00    -1.0000      -1   31636.57   32502.28 -1136048.26
    213      213     12     12    51388.27    1133.55  877231.28     0.0010       0   13608.25   49141.55 -1006309.91
    214      214     15     15    37104.30    3617.79  790895.66     0.2750       6   25062.03   31126.32 -1083959.48
    215      215      0      0        0.00       0.00       0.00    -1.0000      -1   16869.01   48738.28 -150115.43
    216      216     15     15    37104.30    3617.79  790895.66     0.0000       6    2459.87   38842.07 -999578.28
    217      217     12     12    51388.27    1133.55  877231.28     0.0000       0    6676.09   58284.74 -641819.49
    218      218      0      0        0.00       0.00       0.00    -1.0000      -1    -644.30   83247.71 -1332783.87
    219      219     15     15    37104.30    3617.79  790895.66     0.0010       6    5660.11   28492.46 -1524699.47
    220      220      0      0        0.00       0.00       0.00    -1.0000      -1  -36642.26   60257.72 -1676550.49
    221      221      0      0        0.00       0.00       0.00    -1.0000      -1  -18523.58   74709.18 -1373154.67
    222      222      0      0        0.00       0.00       0.00    -1.0000      -1   -8890.97   47714.55 -1735104.91
    223      223     15     15    37104.30    3617.79  790895.66     0.0000       6    8559.25   41129.52 -1441988.53
    224      224      0      0        0.00       0.00       0.00    -1.0000      -1  -55066.79   83281.66 -892152.55
    225      225      0      0        0.00       0.00       0.00    -1.0000      -1   12080.77   44601.35 -249018.02
    226      226      0      0        0.00       0.00       0.00    -1.0000      -1  -28204.25   16769.97 -746773.67
    227      227     12     12    51388.27    1133.55  877231.28     0.0000       0    -908.93   51862.95 -975598.32
    228      228     15     15    37104.30    3617.79  790895.66     0.0000       6    4407.21   41312.43 -649558.09
    229      229      0      0        0.00       0.00       0.00    -1.0000      -1  -12849.80   33827.65 -1073101.20
    230      230     12     12    51388.27    1133.55  877231.28     0.0010       0    8737.68   54481.85 -1326838.05
    231      231     15     15    37104.30    3617.79  790895.66     0.0880       6   16023.47   36105.83 -936883.09
    232      232      0      0        0.00       0.00       0.00    -1.0000      -1   -3317.50   47557.81 -492118.12
    233      233     15     15    37104.30    3617.79  790895.66     0.0000       6    6347.40   31410.04 -600648.44
    234      234      0      0        0.00       0.00       0.00    -1.0000      -1   -1613.32   45935.27 -945734.12
    235      235      0      0        0.00       0.00       0.00    -1.0000      -1   -2867.36   34242.13 -911539.71
    236      236      6      6   174276.85   40107.60  173622.15     0.0310      14  171877.79   30772.71  568348.23
    237      237      0      0        0.00       0.00       0.00    -1.0000      -1    1262.16   75715.07 -627451.87
    238      238      0      0        0.00       0.00       0.00    -1.0000      -1   -4344.11   36719.88 -1201472.79
    239      239     12     12    51388.27    1133.55  877231.28     0.0000       0    8348.10   44696.21 -2056238.27
    240      240     12     12    51388.27    1133.55  877231.28     0.0000       0    3709.60   45735.36 -1409070.81
    241      241     12     12    51388.27    1133.55  877231.28     0.0000       0    3583.38   45283.08 -844953.89
    242      242      0      0        0.00       0.00       0.00    -1.0000      -1   73681.34   43610.39 -2371294.21
    243      243     15     15    37104.30    3617.79  790895.66     0.0000       6    5255.16   32387.59 -748250.78
    244      244     15     15    37104.30    3617.79  790895.66     0.0040       6   11272.27   29265.10 -1901215.88
    245      245     12     12    51388.27    1133.55  877231.28     0.0020       0    9871.13   64547.47 -1196413.57
    246      246     12     12    51388.27    1133.55  877231.28     0.0000       0    3761.46   45893.69 -1015522.21
    247      247     12     12    51388.27    1133.55  877231.28     0.0000       0    3652.78   45669.50 -1741596.10
    248      248     15     15    37104.30    3617.79  790895.66     0.0300       6   19862.44   40747.62 -768866.14
    249      249      6      6    37542.79    4011.71  344211.93     0.0010       7  -19535.12  -27322.59 -1433865.94
    250      250      6      6    37542.79    4011.71  344211.93     0.0010       7  -19163.98  -30811.34 -852332.02
    251      251      6      6    37542.79    4011.71  344211.93     0.0020       7  -15152.27  -35733.43 -618598.25
    252      252      6      6    37542.79    4011.71  344211.93     0.0000       7  -14061.59  -36999.33 -1106597.96
    253      253      0      0        0.00       0.00       0.00    -1.0000      -1  -11894.09  -36197.35 -1164259.58
    254      254      6      6    37542.79    4011.71  344211.93     0.0010       7  -13166.13  -36078.18 -1245322.40
    255      255      6      6    22435.23    8573.19  468467.94     0.0010       2    8738.79  -42471.05 -1655723.79
    256      256      6      6    37542.79    4011.71  344211.93     0.0010       7  -12651.57  -36450.69 -1514200.90
    257      257      6      6   186786.15     867.01  123469.18     0.0000       1 -167218.30  -82860.42  664308.44
    258      258      0      0        0.00       0.00       0.00    -1.0000      -1 -185138.13  -51351.73  626005.35
    259      259      6      6   186786.15     867.01  123469.18     0.0020       1 -163949.50  -82706.84  734506.06
    260      260      6      6   176140.95     529.55  214548.82     0.0060       3 -153810.40 -102927.65  583096.53
    261      261      6      6   186786.15     867.01  123469.18     0.0010       1 -166351.30  -85452.11  972642.13
    262      262      6      6   186786.15     867.01  123469.18     0.0000       1 -164481.88  -84801.79  700763.48
    263      263      6      6   186786.15     867.01  123469.18     0.0000       1 -173664.82  -81559.90  836816.59
    264      264      6      6   186786.15     867.01  123469.18     0.0000       1 -165049.77  -86903.62  912196.35
    265      265      6      6   176140.95     529.55  214548.82     0.0040       3 -137385.31  -84791.46  818897.43
    266      266      0      0        0.00       0.00       0.00    -1.0000      -1 -162301.98  -87025.74  770121.96
    267      267      6      6   176140.95     529.55  214548.82     0.0000       3 -159589.27  -84982.70  651065.87
    268      268      0      0        0.00       0.00       0.00    -1.0000      -1  -26965.55   17977.16  638326.76
    269      269      0      0        0.00       0.00       0.00    -1.0000      -1   61852.37   16536.22 -372118.01
    270      270      3      3    34765.07    1527.00   44534.46     0.4080      13  -29652.42   18754.18  568972.03
    271      271      6      6    20532.13   20515.48  201556.94     0.1870      10  -22131.35   15966.83  697522.54
    272      272      0      0        0.00       0.00       0.00    -1.0000      -1  -36330.48   12166.83  590846.29
    273      273      3      3    34765.07    1527.00   44534.46     0.0020      13  -28329.87   21683.07  642938.31
    274      274      6      6   104065.01   26013.79  164555.16     0.1970      12  -78168.19   25110.63  500521.93
    275      275      6      6    20532.13   20515.48  201556.94     0.3400      10  -27300.17   10861.25  465543.82
    276      276      0      0        0.00       0.00       0.00    -1.0000      -1  -34845.45    2065.75  653342.01
    277      277      3      3    34765.07    1527.00   44534.46     0.6180      13  -28125.44   18262.33  562981.98
    278      278      6      6   104065.01   26013.79  164555.16     0.0050      12 -100984.58   14708.06  532553.20
    279      279      6      6    22435.23    8573.19  468467.94     0.0610       2    4743.27   -7237.80 -729023.04
    280      280      6      6    22435.23    8573.19  468467.94     0.0740       2    4424.06   -7285.48 -732848.10
    281      281      0      0        0.00       0.00       0.00    -1.0000      -1     -99.98   -8415.80 -764972.84
    282      282      0      0        0.00       0.00       0.00    -1.0000      -1    1894.69   -5678.65 -1028997.12
    283      283      6      6    84760.46    7270.02  295060.55     0.0080       4  -48480.33  -46937.13  323953.36
    284      284      0      0        0.00       0.00       0.00    -1.0000      -1  -61365.08  -82130.07  224296.49
    285      285      6      6    84760.46    7270.02  295060.55     0.0060       4  -65604.92  -58680.12  805265.10
    286      286      6      6    84760.46    7270.02  295060.55     0.0110       4  -63337.70  -62964.61  -62406.86
    287      287      6      6    84760.46    7270.02  295060.55     0.0130       4  -58334.89  -64243.94  572676.16
    288      288      6      6    84760.46    7270.02  295060.55     0.0150       4  -60694.76  -64264.55  275637.53
    289      289      6      6    84760.46    7270.02  295060.55     0.0160       4  -60809.10  -64413.32  478638.64
    290      290      0      0        0.00       0.00       0.00    -1.0000      -1  -57186.17  -69326.24  263750.49
    291      291      3      3   140554.14    2398.32   50059.87     0.0050       5 -105680.98  -92019.65  373533.32
    292      292      3      3   140554.14    2398.32   50059.87     0.0170       5 -108079.30  -93443.56  432331.81
    293      293      0      0        0.00       0.00       0.00    -1.0000      -1 -107300.53  -95003.11  246965.34
    294      294      3      3   140554.14    2398.32   50059.87     0.0020       5 -104896.64  -90682.52  332754.04
    295      295      6      6   176140.95     529.55  214548.82     0.0030       3 -147919.53  -96618.06  362767.70
