#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
     21        21      12     101897.36       3003.86     774507.89      0.99058      0.23729     0.2940     0.4760     0.2940
     21        21      15      98956.62       3003.86    1145031.92      0.78352     -2.48710     0.4310     0.9630     0.4310
     22        22       3       9379.37        319.22      97143.11      1.17624      3.33636     0.1120     0.0200     0.0200
     22        22       6       7396.98        319.22     501678.89      1.66470      1.63960     0.0740     0.1810     0.0740
     22        22       9      10941.45        319.22     532976.42      1.41614      1.67668     0.1420     0.1400     0.1400
     22        22      12      13944.38        319.22     631028.19      1.37174      1.05755     0.1310     0.2560     0.1310
     22        22      15      15222.75        319.22     600797.55      1.26359      1.43238     0.1890     0.1660     0.1660
     23        23       3      89483.86       2442.94     822120.31      1.57038      0.09140     0.0370     0.6020     0.0370
     23        23       6      89233.12       2442.94    1472923.84      0.14061     -3.63384     0.8790     0.9920     0.8790
     23        23       9      87388.77       2442.94    1282383.94      0.39238     -2.58598     0.6920     0.9730     0.6920
     23        23      12      87878.65       2442.94    1131405.16      0.42531     -1.80829     0.6600     0.9170     0.6600
     23        23      15      88770.82       2442.94    1044621.77      0.85467     -1.66235     0.3790     0.9030     0.3790
     24        24       3     139479.58        721.95     910741.17      0.31676     -0.95632     0.6780     0.8050     0.6780
     24        24       6     139324.73        721.95     728991.77      0.33380     -0.00221     0.7250     0.5730     0.5730
     24        24       9     136647.85        721.95     802611.18      0.41325     -0.57379     0.6550     0.6900     0.6550
     24        24      12     136336.05        721.95     793225.06      0.51566     -0.56060     0.5540     0.7000     0.5540
     24        24      15     134363.00        721.95     764175.93      0.05448     -0.33719     0.9550     0.6360     0.6360
     25        25       3      71539.92      18118.68    1139869.36      1.26675     -0.96838     0.0850     0.7860     0.0850
     25        25       6      59722.89      18118.68    1279500.21      1.68871     -2.13829     0.0610     0.9280     0.0610
     25        25       9      61134.84      18118.68    1019635.03      2.25099     -0.83700     0.0200     0.7580     0.0200
     25        25      12      57085.33      18118.68     884613.14      2.95906      0.02519     0.0020     0.5370     0.0020
     25        25      15      52457.30      18118.68     902048.07      2.74035     -0.27090     0.0080     0.6150     0.0080
     26        26       3     118700.58       1644.40     669527.06      0.71085      0.48647     0.3620     0.5360     0.3620
     26        26       6     120561.37       1644.40     512578.56      0.98310      1.60981     0.2880     0.1690     0.1690
     26        26       9     120631.23       1644.40     769379.58      0.61521     -0.01734     0.5070     0.5640     0.5070
     26        26      12     117567.31       1644.40     731152.22      0.70560      0.29592     0.4740     0.4710     0.4710
     26        26      15     117102.01       1644.40     801964.56      1.52998     -0.31510     0.0990     0.6370     0.0990
     27        27       3     116487.55       1830.56     383425.89      0.85130      1.91395     0.2570     0.2550     0.2550
     27        27       6     117676.33       1830.56     568499.86      1.00340      1.25602     0.2740     0.2660     0.2660
     27        27       9     120376.19       1830.56     495677.07      1.19042      2.00010     0.1970     0.0950     0.0950
     27        27      12     122225.24       1830.56     602264.52      1.09827      1.35904     0.2740     0.1750     0.1750
     27        27      15     121087.33       1830.56     727737.90      0.48646      0.35436     0.6210     0.4080     0.4080
     28        28       3      78988.96       2577.05    1080877.68      0.94971     -0.87406     0.2160     0.7830     0.2160
     28        28       6      80500.89       2577.05     803050.90      0.87037      0.42390     0.3470     0.4830     0.3470
     28        28       9      77434.94       2577.05     797646.64      0.95660      0.69632     0.3060     0.3740     0.3060
     28        28      12      80453.17       2577.05     800171.92      1.15982      0.57336     0.2160     0.3860     0.2160
     28        28      15      80915.09       2577.05    1027837.07      0.17230     -1.16299     0.8720     0.8330     0.8330
     29        29       3      70090.74       1030.99    1718099.90      0.35786     -3.40099     0.6440     0.9790     0.6440
     29        29       6      71542.84       1030.99    1182031.79      0.41626     -1.45284     0.6110     0.8770     0.6110
     29        29       9      71350.21       1030.99     998945.99      0.59254     -0.55476     0.5300     0.7240     0.5300
     29        29      12      69751.41       1030.99     975424.01      0.00057     -0.46126     1.0000     0.6660     0.6660
     29        29      15      69396.54       1030.99     882435.99      0.04316      0.20321     0.9690     0.4580     0.4580
