#  idx_gal   gal_id   Ngal    Ri_avr(kpc)  size_i(kpc)   sigma_i(km/s)   delta_v    delta_sigma     P_v      P_sigma    Pmin(ds)
    160       160       9      69274.75        248.89     815274.87      0.44824      0.58373     0.6380     0.4080     0.4080
    160       160      12      69247.04        248.89     942708.35      0.87991     -0.23359     0.3610     0.6220     0.3610
    160       160      15      69259.31        248.89     878342.26      1.13462      0.23436     0.2280     0.4760     0.2280
    161       161       3      70508.63       2912.42     981798.15      0.24702     -0.30338     0.7600     0.6770     0.6770
    161       161       6      72496.28       2912.42     961025.30      0.34855     -0.27388     0.7000     0.6300     0.6300
    161       161       9      71058.67       2912.42     890306.94      0.00136      0.12043     1.0000     0.5800     0.5800
    161       161      12      71522.92       2912.42     887855.05      0.35984      0.15182     0.7110     0.5200     0.5200
    161       161      15      71497.67       2912.42     937861.05      0.50233     -0.21428     0.6080     0.6000     0.6000
    162       162       3      70824.62       3135.57     971076.88      0.32432     -0.25828     0.6700     0.6700     0.6700
    162       162       6      70472.34       3135.57     954618.57      0.55126     -0.23970     0.5060     0.6300     0.5060
    162       162       9      71654.39       3135.57     848943.82      0.84737      0.37750     0.3460     0.4280     0.3460
    162       162      12      72091.74       3135.57     901266.57      0.42333      0.05855     0.6550     0.5520     0.5520
    162       162      15      71081.84       3135.57     869271.80      0.80828      0.30733     0.4280     0.4290     0.4280
    163       163       3      78796.11       5212.38     419184.54      0.18981      2.00386     0.7810     0.2060     0.2060
    163       163       6      79325.11       5212.38     615898.38      0.24266      1.45604     0.8000     0.2220     0.2220
    163       163       9      77502.49       5212.38     545527.22      0.25777      2.26324     0.7770     0.0480     0.0480
    163       163      12      77433.47       5212.38     862602.74      1.03999      0.32745     0.2740     0.4710     0.2740
    163       163      15      77925.47       5212.38     948793.39      1.67436     -0.29741     0.0940     0.6090     0.0940
    164       164       3      14266.39       2625.73     500812.30      0.09495      1.29742     0.9240     0.3420     0.3420
    164       164       6      17671.22       2625.73     411352.92      0.52742      2.21812     0.5410     0.1020     0.1020
    164       164       9      21879.08       2625.73     789548.80      0.05444     -0.23783     0.9530     0.6210     0.6210
    164       164      12      24035.66       2625.73     854286.39      0.97314     -0.80672     0.3220     0.7600     0.3220
    164       164      15      23647.03       2625.73     835004.71      0.63569     -0.70604     0.5070     0.7280     0.5070
    165       165       3      46882.94       1997.47     696188.18      0.68757      0.68099     0.3640     0.4940     0.3640
    165       165       6      44648.81       1997.47     807896.06      0.36040      0.22341     0.7050     0.5560     0.5560
    165       165       9      43419.16       1997.47     777444.95      0.42850      0.46357     0.6190     0.4200     0.4200
    165       165      12      45806.06       1997.47     800146.50      0.27532      0.34917     0.7770     0.4420     0.4420
    165       165      15      44526.19       1997.47     732244.70      0.55803      0.93646     0.5580     0.2720     0.2720
    166       166       3      74483.92       2935.83    1025206.07      0.66181     -0.48600     0.3880     0.7230     0.3880
    166       166       6      75070.87       2935.83     772393.83      1.41225      0.73238     0.1190     0.4160     0.1190
    166       166       9      74452.76       2935.83     864402.77      1.23341      0.28143     0.1680     0.5000     0.1680
    166       166      12      75175.32       2935.83     796528.23      1.67249      0.78699     0.0790     0.3170     0.0790
    166       166      15      76391.86       2935.83     779518.66      1.73267      0.98988     0.0690     0.2520     0.0690
    167       167       3      66325.05        600.49     438044.16      0.52340      1.98308     0.4830     0.2030     0.2030
    167       167       6      66583.76        600.49     942195.52      0.24765     -0.17643     0.8030     0.6170     0.6170
    167       167       9      65417.56        600.49    1010299.11      1.28797     -0.62907     0.1780     0.7410     0.1780
    167       167      12      66407.37        600.49     920704.44      0.93634     -0.08047     0.3180     0.5850     0.3180
    167       167      15      66723.77        600.49     901001.09      1.12850      0.06195     0.2050     0.5410     0.2050
    168       168       3      41320.46       3250.83     413007.70      0.21751      1.91342     0.7860     0.2510     0.2510
    168       168       6      41139.39       3250.83     632527.05      0.76009      1.13654     0.4070     0.2810     0.2810
    168       168       9      42215.78       3250.83     613092.76      1.46617      1.45715     0.1200     0.1950     0.1200
    168       168      12      42399.89       3250.83     732401.02      0.71013      0.71676     0.4820     0.3370     0.3370
    168       168      15      41754.06       3250.83     841102.88      0.90814     -0.12670     0.3390     0.5820     0.3390
    169       169       3      62250.04       2412.58     597335.97      0.11428      1.31254     0.8840     0.3390     0.3390
    169       169       6      61122.99       2412.58     789981.43      0.17339      0.53638     0.8480     0.4490     0.4490
    169       169       9      61727.22       2412.58     850231.98      0.79473      0.24137     0.4130     0.4960     0.4130
    169       169      12      62181.97       2412.58     743361.55      0.83867      1.15368     0.3650     0.2180     0.2180
    169       169      15      62570.64       2412.58     728682.73      1.51314      1.37317     0.1260     0.1850     0.1260
    170       170       3      38928.73      14919.63    1048747.17      0.25320     -1.03218     0.7420     0.8020     0.7420
    170       170       6      36236.65      14919.63     886732.18      0.28735     -0.48840     0.7580     0.6860     0.6860
    170       170       9      38115.43      14919.63     728668.88      0.07316      0.54020     0.9450     0.4230     0.4230
    170       170      12      40376.22      14919.63     738544.57      0.42271      0.66970     0.6580     0.3630     0.3630
    170       170      15      38255.89      14919.63     707726.14      0.04693      0.84083     0.9700     0.2880     0.2880
    171       171       3      68873.16       1024.47     598630.52      0.53335      1.30709     0.5110     0.3520     0.3520
    171       171       6      68991.14       1024.47     934597.12      0.49241     -0.13587     0.5780     0.6240     0.5780
    171       171       9      68987.99       1024.47    1053783.03      0.97721     -0.89948     0.2840     0.7890     0.2840
    171       171      12      68179.09       1024.47     975641.22      1.26716     -0.46278     0.1880     0.6670     0.1880
    171       171      15      68302.81       1024.47     897958.84      1.21784      0.08509     0.2060     0.5190     0.2060
    172       172       3      32228.66       3617.79    1459037.35      0.47174     -3.27711     0.5540     0.9770     0.5540
    172       172       6      34302.47       3617.79    1048870.07      0.83386     -1.46502     0.3710     0.8840     0.3710
    172       172       9      34020.60       3617.79     925209.40      1.81872     -0.83903     0.0550     0.8040     0.0550
    172       172      12      35897.24       3617.79     882617.56      2.38633     -0.60445     0.0210     0.7180     0.0210
    172       172      15      37104.30       3617.79     790895.66      2.90760      0.12667     0.0000     0.5020     0.0000
    173       173       3      58712.60        286.00     570875.24      0.76971      1.36713     0.3450     0.3430     0.3430
    173       173       6      60201.86        286.00     640699.66      0.72281      1.35203     0.4310     0.2220     0.2220
    173       173       9      59329.41        286.00     630516.50      0.26701      1.64001     0.7770     0.1470     0.1470
    173       173      12      59823.41        286.00     664669.23      0.28866      1.59198     0.7690     0.1410     0.1410
    173       173      15      59157.53        286.00     690509.94      0.36052      1.53945     0.7010     0.1600     0.1600
    174       174       3      32580.37       1159.92     205243.52      0.81348      2.82768     0.2980     0.0720     0.0720
    174       174       6      32253.28       1159.92     556285.81      0.96298      1.41820     0.3080     0.2220     0.2220
    174       174       9      32447.35       1159.92     527532.81      1.05035      1.85910     0.2580     0.1040     0.1040
    174       174      12      33413.70       1159.92     581959.16      0.83529      1.64233     0.3780     0.1560     0.1560
    174       174      15      32563.38       1159.92     629605.09      0.73869      1.37643     0.4480     0.1660     0.1660
    175       175       3      29410.01       1162.67     219550.81      0.57922      2.73156     0.4540     0.0750     0.0750
    175       175       6      28024.28       1162.67     461664.78      0.79505      1.93184     0.3780     0.1310     0.1310
    175       175       9      30417.85       1162.67     638840.22      0.12918      1.05845     0.8970     0.2710     0.2710
    175       175      12      32412.31       1162.67     659339.51      0.20501      1.01946     0.8230     0.2410     0.2410
    175       175      15      34017.42       1162.67     667659.06      0.20508      1.18488     0.8370     0.2150     0.2150
    176       176       3      75906.06       3300.81     927241.84      1.33552     -0.07386     0.0850     0.6570     0.0850
    176       176       6      76424.82       3300.81     721743.14      1.65873      1.00258     0.0650     0.3360     0.0650
    176       176       9      74452.76       3300.81     864402.77      1.23341      0.28143     0.1820     0.4700     0.1820
    176       176      12      76463.49       3300.81     861964.14      1.49420      0.33189     0.1080     0.4210     0.1080
    176       176      15      76958.69       3300.81     885219.77      1.38944      0.18605     0.1410     0.4870     0.1410
    177       177       3     139479.58       3306.58     910741.17      0.31676     -0.95632     0.6700     0.7690     0.6700
    177       177       6     138350.91       3306.58     759510.60      0.57036     -0.20546     0.5370     0.6630     0.5370
    177       177       9     136784.83       3306.58     826384.58      0.38803     -0.75825     0.6540     0.7700     0.6540
    177       177      12     134394.81       3306.58     853770.91      0.27511     -1.08631     0.7910     0.8300     0.7910
    177       177      15     133331.00       3306.58     814618.90      0.40677     -0.81610     0.6540     0.7820     0.6540
    178       178       3      82195.58        696.22    1034929.93      0.61838     -0.67422     0.4200     0.7190     0.4200
    178       178       6      81609.54        696.22     994016.68      0.63859     -0.62928     0.4780     0.7280     0.4780
    178       178       9      81558.31        696.22     881358.76      0.89575     -0.00929     0.3400     0.5550     0.3400
    178       178      12      82093.24        696.22     885409.96      1.10078     -0.03952     0.2530     0.5630     0.2530
    178       178      15      81673.82        696.22     995517.02      2.05642     -0.90889     0.0400     0.8010     0.0400
    179       179       3     117098.32       3821.36     743084.68      0.20689      0.11946     0.7740     0.6040     0.6040
    179       179       6     119140.80       3821.36     505928.61      0.81026      1.65188     0.3590     0.1830     0.1830
    179       179       9     120376.19       3821.36     495677.07      1.19042      2.00010     0.2180     0.0820     0.0820
    179       179      12     122225.24       3821.36     602264.52      1.09827      1.35904     0.2500     0.1550     0.1550
    179       179      15     122343.88       3821.36     695187.35      0.38696      0.64794     0.6760     0.3580     0.3580
    180       180       3      70090.74        367.46    1718099.90      0.35786     -3.40099     0.6300     0.9720     0.6300
    180       180       6      71722.23        367.46    1179404.55      0.40510     -1.43883     0.6600     0.8550     0.6600
    180       180       9      69466.49        367.46    1073522.70      0.24772     -1.02224     0.7860     0.8400     0.7860
    180       180      12      70933.28        367.46     944924.40      0.09425     -0.24509     0.9290     0.6240     0.6240
    180       180      15      70904.70        367.46     873097.17      0.53842      0.27824     0.5940     0.4590     0.4590
    181       181       3      70788.57        511.90     702154.66      0.22840      0.87307     0.7750     0.4500     0.4500
    181       181       6      70796.98        511.90     772386.39      0.56252      0.73242     0.5490     0.3820     0.3820
    181       181       9      70537.06        511.90    1042134.90      0.47475     -0.82318     0.5840     0.7720     0.5840
    181       181      12      70270.03        511.90     975718.17      1.13835     -0.45926     0.2430     0.6850     0.2430
    181       181      15      70539.32        511.90     920576.20      1.39819     -0.08283     0.1480     0.5560     0.1480
    182       182       3     127141.49       2253.31     616831.57      0.55764      0.74939     0.4550     0.4560     0.4550
    182       182       6     126459.28       2253.31     666312.93      0.42771      0.63719     0.6250     0.4210     0.4210
    182       182       9     128720.09       2253.31     740656.29      0.45420     -0.09308     0.6110     0.6100     0.6100
    182       182      12     127974.40       2253.31     654019.05      0.90846      0.64809     0.3350     0.3450     0.3350
    182       182      15     128871.71       2253.31     622746.83      1.57670      1.00555     0.1030     0.2810     0.1030
    183       183       3     121351.74       1033.24    1190836.81      0.31850     -2.11456     0.6730     0.9190     0.6730
    183       183       6     118407.10       1033.24     982230.44      0.87759     -1.36152     0.3440     0.8490     0.3440
    183       183       9     119063.83       1033.24     882962.46      0.45183     -0.85455     0.6370     0.7750     0.6370
    183       183      12     119216.42       1033.24     800031.32      0.71998     -0.27223     0.4390     0.6710     0.4390
    183       183      15     119763.45       1033.24     764002.47      1.08653      0.02728     0.2530     0.5680     0.2530
    184       184       3      50069.12       6911.10     304133.35      0.08913      2.48618     0.9070     0.1230     0.1230
    184       184       6      48789.61       6911.10     508263.95      0.78767      2.01136     0.3830     0.1340     0.1340
    184       184       9      46701.93       6911.10     765454.91      1.70449      0.54361     0.0760     0.3980     0.0760
    184       184      12      45229.38       6911.10     789781.24      1.81861      0.42660     0.0580     0.4380     0.0580
    184       184      15      45563.89       6911.10     742718.41      2.23520      0.85091     0.0210     0.3090     0.0210
    185       185       3      74499.90       1292.33      23332.46      0.75618      3.72887     0.3290     0.0000     0.0000
    185       185       6      73441.58       1292.33     298453.89      1.33375      3.26062     0.1400     0.0100     0.0100
    185       185       9      72926.03       1292.33     965314.13      0.48499     -0.34574     0.6110     0.6270     0.6110
    185       185      12      73431.11       1292.33     864192.09      0.47290      0.31640     0.6160     0.4590     0.4590
    185       185      15      74342.47       1292.33     830153.00      0.18023      0.60482     0.8420     0.3830     0.3830
    186       186       3     104841.24       2469.36     436567.93      0.84947      1.75075     0.2930     0.2520     0.2520
    186       186       6     110729.20       2469.36     799638.41      0.67864      0.03045     0.4430     0.5800     0.4430
    186       186       9     111202.08       2469.36     727408.50      1.25352      0.54296     0.1830     0.4050     0.1830
    186       186      12     113561.89       2469.36     790582.69      0.45671     -0.19429     0.6290     0.5950     0.5950
    186       186      15     110783.09       2469.36     731639.79      0.94787      0.62800     0.3350     0.3600     0.3350
    187       187       3      91683.75       6135.83    1327089.68      1.67228     -2.20312     0.0250     0.9160     0.0250
    187       187       6      89685.83       6135.83    1026842.16      1.81018     -1.06365     0.0610     0.7960     0.0610
    187       187       9      91329.97       6135.83     994584.14      1.19541     -1.02267     0.1950     0.8100     0.1950
    187       187      12      91001.40       6135.83    1002886.29      0.59888     -1.20679     0.5270     0.8350     0.5270
    187       187      15      89533.73       6135.83     988800.51      0.90333     -1.20385     0.3440     0.8670     0.3440
    188       188       3      99478.94       6903.09     996324.62      0.28678     -0.70016     0.7060     0.7460     0.7060
    188       188       6      99023.95       6903.09    1123701.61      1.54290     -1.62172     0.0760     0.8730     0.0760
    188       188       9      98757.21       6903.09    1092618.42      1.76590     -1.68074     0.0590     0.9020     0.0590
    188       188      12      97827.01       6903.09    1041087.82      2.38457     -1.49375     0.0130     0.8710     0.0130
    188       188      15      98396.49       6903.09     972661.57      2.14400     -1.07129     0.0180     0.8050     0.0180
    189       189       3      81826.91       1149.95    1010928.96      0.61288     -0.56983     0.4250     0.7490     0.4250
    189       189       6      81609.54       1149.95     994016.68      0.63859     -0.62928     0.4850     0.7060     0.4850
    189       189       9      81347.01       1149.95    1201422.48      0.07707     -2.06578     0.9330     0.9380     0.9330
    189       189      12      81018.63       1149.95    1100079.97      0.70291     -1.58305     0.4640     0.8990     0.4640
    189       189      15      79455.72       1149.95    1042148.41      0.24823     -1.27551     0.7750     0.8590     0.7750
    190       190       3      78988.96       3194.29    1080877.68      0.94971     -0.87406     0.2110     0.7740     0.2110
    190       190       6      78621.53       3194.29     883188.63      0.60977      0.14134     0.5100     0.5290     0.5100
    190       190       9      77434.94       3194.29     797646.64      0.95660      0.69632     0.3130     0.3710     0.3130
    190       190      12      79742.48       3194.29    1043282.48      0.35699     -1.17466     0.7220     0.8470     0.7220
    190       190      15      81017.05       3194.29    1138574.72      0.37005     -2.03362     0.7210     0.9370     0.7210
    191       191       3      62837.49        155.28     260904.00      1.11956      2.72875     0.1300     0.0780     0.0780
    191       191       6      60590.27        155.28     381530.53      1.34769      2.76810     0.1400     0.0300     0.0300
    191       191       9      59220.91        155.28     747461.68      1.18402      0.89557     0.2180     0.3090     0.2180
    191       191      12      56540.39        155.28     656683.94      1.20999      1.64886     0.2210     0.1450     0.1450
    191       191      15      55417.30        155.28     638454.34      1.56885      1.94492     0.1050     0.0650     0.0650
    192       192       3      62998.86       3537.30     249141.30      0.30057      2.77827     0.7000     0.0760     0.0760
    192       192       6      63470.92       3537.30     698791.42      0.65703      1.12279     0.4930     0.2830     0.2830
    192       192       9      62964.82       3537.30     637837.43      0.81430      1.68716     0.3770     0.1210     0.1210
    192       192      12      62735.31       3537.30     741043.75      0.82098      1.16981     0.4060     0.2360     0.2360
    192       192      15      63377.92       3537.30     718087.00      1.13200      1.45380     0.2780     0.1390     0.1390
    193       193       3      70674.52        367.46    1803628.28      0.15308     -3.76080     0.8540     0.9790     0.8540
    193       193       6      68499.79        367.46    1182147.48      0.56853     -1.45722     0.5440     0.8810     0.5440
    193       193       9      70400.19        367.46     980605.14      0.29883     -0.44077     0.7420     0.6740     0.6740
    193       193      12      71954.36        367.46     872360.09      0.00847      0.25959     0.9920     0.5280     0.5280
    193       193      15      73028.98        367.46     798843.99      0.23412      0.84292     0.8100     0.3140     0.3140
    194       194       3      60047.27       1086.81     766628.89      0.78106      0.52363     0.3250     0.5470     0.3250
    194       194       6      59655.28       1086.81     899681.78      0.21785     -0.06301     0.8080     0.6030     0.6030
    194       194       9      59957.02       1086.81     804591.57      0.82433      0.53190     0.3730     0.4150     0.3730
    194       194      12      60682.22       1086.81     791477.64      1.10244      0.68865     0.2500     0.3710     0.2500
    194       194      15      61307.67       1086.81     708846.02      1.23275      1.39663     0.1940     0.1580     0.1580
    195       195       3      75131.82       3192.58     424531.32      0.69581      2.04103     0.3550     0.1790     0.1790
    195       195       6      75518.94       3192.58     688663.26      1.70695      1.17904     0.0410     0.2790     0.0410
    195       195       9      77512.22       3192.58     791865.32      2.59037      0.73225     0.0050     0.3380     0.0050
    195       195      12      77069.26       3192.58     897736.30      2.24886      0.08310     0.0200     0.5510     0.0200
    195       195      15      76366.36       3192.58     995849.17      1.77382     -0.65526     0.0840     0.7180     0.0840
    196       196       3     137577.27       7370.74     136205.79      1.31808      3.11165     0.0880     0.0310     0.0310
    196       196       6     135412.62       7370.74     739786.91      1.08535     -0.07410     0.2130     0.5930     0.2130
    196       196       9     134542.82       7370.74     756197.45      0.42370     -0.21366     0.6630     0.6190     0.6190
    196       196      12     133460.88       7370.74     768879.18      0.53909     -0.34921     0.5770     0.6660     0.5770
    196       196      15     131680.81       7370.74     701079.32      0.75980      0.26185     0.4290     0.4940     0.4290
    197       197       3     120770.95       4259.57    1200668.99      0.30855     -2.16362     0.6830     0.9050     0.6830
    197       197       6     119442.82       4259.57    1020946.42      0.25568     -1.60646     0.7700     0.8660     0.7700
    197       197       9     118757.64       4259.57     949281.63      0.46660     -1.34338     0.6470     0.8490     0.6470
    197       197      12     121160.43       4259.57     866007.27      0.66483     -0.81643     0.5150     0.7670     0.5150
    197       197      15     121046.32       4259.57     786318.58      0.80925     -0.17399     0.3830     0.5850     0.3830
    198       198       3     109807.49       6659.45     938330.77      0.95662     -0.63559     0.2130     0.7250     0.2130
    198       198       6     108498.00       6659.45     973956.82      0.72964     -1.02079     0.4480     0.8120     0.4480
    198       198       9     109080.58       6659.45     817518.21      0.93617     -0.09014     0.3300     0.5830     0.3300
    198       198      12     106626.71       6659.45     760641.66      0.71118      0.34631     0.4790     0.4730     0.4730
    198       198      15     107919.57       6659.45     726071.33      0.44867      0.67587     0.6430     0.3450     0.3450
    199       199       3     133247.97        103.09     967919.89      0.02647     -1.25663     0.9760     0.8350     0.8350
    199       199       6     131483.99        103.09     745873.45      0.95046     -0.11464     0.2980     0.6210     0.2980
    199       199       9     131514.01        103.09     601279.74      1.33841      0.98835     0.1500     0.2990     0.1500
    199       199      12     130196.50        103.09     658866.08      0.92863      0.60601     0.3590     0.3660     0.3590
    199       199      15     130660.24        103.09     614285.49      1.25213      1.08588     0.1760     0.2590     0.1760
    200       200       3     125146.17       1186.35     390868.01      0.43151      1.87682     0.5710     0.2110     0.2110
    200       200       6     125932.42       1186.35     368299.24      1.16362      2.52262     0.2070     0.0580     0.0580
    200       200       9     124511.11       1186.35     577438.42      1.00414      1.39744     0.2820     0.1820     0.1820
    200       200      12     122225.24       1186.35     602264.52      1.09827      1.35904     0.2310     0.2010     0.2010
    200       200      15     124428.54       1186.35     667384.32      1.04638      0.89870     0.2950     0.2640     0.2640
    201       201       3     126875.32       3058.50     306247.88      0.35842      2.29902     0.6320     0.1340     0.1340
    201       201       6     130438.72       3058.50     308242.27      0.82778      2.79990     0.3450     0.0300     0.0300
    201       201       9     129393.93       3058.50     327207.95      1.40225      3.11487     0.1410     0.0100     0.0100
    201       201      12     129704.63       3058.50     552787.77      1.02931      1.52706     0.2910     0.1650     0.1650
    201       201      15     128450.76       3058.50     611069.28      1.02401      1.11642     0.2910     0.2300     0.2300
    202       202       3     127304.33        798.16     344831.22      0.97823      2.01592     0.1930     0.1840     0.1840
    202       202       6     125932.42        798.16     368299.24      1.16362      2.52262     0.1900     0.0510     0.0510
    202       202       9     127719.65        798.16     716246.41      0.34413      0.09632     0.7160     0.5240     0.5240
    202       202      12     128044.79        798.16     677183.61      1.12958      0.44696     0.2320     0.4160     0.2320
    202       202      15     126642.35        798.16     626731.61      1.40207      1.26535     0.1550     0.2140     0.1550
    203       203       3      82756.83       7514.64    1127048.92      0.77514     -1.07487     0.3320     0.8100     0.3320
    203       203       6      82658.03       7514.64     799614.62      0.92794      0.44285     0.3210     0.4980     0.3210
    203       203       9      79006.18       7514.64     646467.41      1.31361      1.49995     0.1790     0.1660     0.1660
    203       203      12      79226.57       7514.64     725428.74      0.74481      1.11078     0.4250     0.2360     0.2360
    203       203      15      77416.79       7514.64     660065.92      0.81863      1.89830     0.3900     0.0770     0.0770
    204       204       3     116487.55       2647.85     383425.89      0.85130      1.91395     0.2470     0.2210     0.2210
    204       204       6     117676.33       2647.85     568499.86      1.00340      1.25602     0.2490     0.2770     0.2490
    204       204       9     119143.93       2647.85     705428.93      0.54602      0.45404     0.5760     0.4460     0.4460
    204       204      12     119679.49       2647.85     763094.60      0.06179      0.03244     0.9580     0.5510     0.5510
    204       204      15     121087.33       2647.85     727737.90      0.48646      0.35436     0.5990     0.4540     0.4540
    205       205       3     126470.79        278.76     559070.34      0.68700      1.03759     0.3650     0.4340     0.3650
    205       205       6     125932.42        278.76     368299.24      1.16362      2.52262     0.1920     0.0630     0.0630
    205       205       9     126125.00        278.76     744263.45      0.44836      0.16779     0.5830     0.4960     0.4960
    205       205      12     126693.76        278.76     669120.59      0.94515      0.80758     0.3080     0.3220     0.3080
    205       205      15     125733.34        278.76     625916.45      1.45380      1.27271     0.1480     0.1700     0.1480
    206       206       3     133247.97        139.13     967919.89      0.02647     -1.25663     0.9700     0.8450     0.8450
    206       206       6     131483.99        139.13     745873.45      0.95046     -0.11464     0.2820     0.5790     0.2820
    206       206       9     131454.65        139.13     750076.09      0.83773     -0.16617     0.3900     0.6320     0.3900
    206       206      12     130196.50        139.13     658866.08      0.92863      0.60601     0.3050     0.3930     0.3050
    206       206      15     130660.24        139.13     614285.49      1.25213      1.08588     0.2010     0.2290     0.2010
    207       207       3     130074.64       2861.33     141967.33      0.00607      3.08139     0.9920     0.0460     0.0460
    207       207       6     129451.69       2861.33     398751.93      1.02929      2.19712     0.2330     0.0790     0.0790
    207       207       9     129393.93       2861.33     327207.95      1.40225      3.11487     0.1270     0.0090     0.0090
    207       207      12     127656.83       2861.33     354116.98      1.64189      3.25207     0.0910     0.0040     0.0040
    207       207      15     127410.85       2861.33     514562.18      1.45192      2.03266     0.1530     0.0680     0.0680
    208       208       3     130074.64       3834.82     141967.33      0.00607      3.08139     0.9940     0.0380     0.0380
    208       208       6     130438.72       3834.82     308242.27      0.82778      2.79990     0.3640     0.0220     0.0220
    208       208       9     130715.03       3834.82     623137.17      0.94637      0.81875     0.2960     0.3440     0.2960
    208       208      12     129704.63       3834.82     552787.77      1.02931      1.52706     0.2850     0.1690     0.1690
    208       208      15     129166.08       3834.82     519824.61      1.56166      1.98270     0.1160     0.0670     0.0670
    209       209       3     127304.33       1072.01     344831.22      0.97823      2.01592     0.2050     0.2070     0.2050
    209       209       6     125932.42       1072.01     368299.24      1.16362      2.52262     0.2200     0.0540     0.0540
    209       209       9     127719.65       1072.01     716246.41      0.34413      0.09632     0.7410     0.5410     0.5410
    209       209      12     128044.79       1072.01     677183.61      1.12958      0.44696     0.2320     0.4170     0.2320
    209       209      15     128154.21       1072.01     606685.27      1.35147      1.15804     0.1510     0.2200     0.1510
    210       210       3     133241.72        103.09    1037201.38      0.10014     -1.62050     0.9000     0.8840     0.8840
    210       210       6     133451.72        103.09     703840.20      0.78037      0.16530     0.4010     0.5380     0.4010
    210       210       9     131454.65        103.09     750076.09      0.83773     -0.16617     0.3770     0.6010     0.3770
    210       210      12     131093.39        103.09     682336.42      1.17792      0.40222     0.1910     0.4410     0.1910
    210       210      15     131165.51        103.09     630493.45      1.14797      0.93200     0.2400     0.2800     0.2400
    211       211       3      40438.11       1204.99     498550.15      0.92856      1.51707     0.2310     0.2940     0.2310
    211       211       6      40167.86       1204.99     661405.58      0.83533      0.96687     0.3700     0.3450     0.3450
    211       211       9      39815.82       1204.99     714953.89      0.81676      0.75992     0.3700     0.3640     0.3640
    211       211      12      41454.82       1204.99     760637.84      0.60348      0.50047     0.5000     0.4390     0.4390
    211       211      15      41595.33       1204.99     824362.58      1.08379      0.01351     0.2450     0.5490     0.2450
    212       212       3      46000.50       1010.78    1177040.60      0.18638     -1.49196     0.8010     0.8410     0.8010
    212       212       6      44801.69       1010.78     879127.64      0.42988     -0.18475     0.5990     0.6460     0.5990
    212       212       9      43219.32       1010.78     782915.49      0.21531      0.42705     0.8100     0.4760     0.4760
    212       212      12      44972.81       1010.78     684027.22      0.20591      1.21666     0.8370     0.2040     0.2040
    212       212      15      45388.84       1010.78     755770.53      0.16393      0.74429     0.8540     0.3180     0.3180
    213       213       3      49591.49       4788.25     468391.17      0.71271      1.76202     0.3850     0.2790     0.2790
    213       213       6      49967.86       4788.25     900341.24      1.86685     -0.18048     0.0350     0.6050     0.0350
    213       213       9      48320.33       4788.25     791963.81      2.57743      0.36665     0.0110     0.4730     0.0110
    213       213      12      47659.56       4788.25     747770.58      3.55510      0.74045     0.0010     0.3450     0.0010
    213       213      15      47836.80       4788.25     669047.35      3.84367      1.45270     0.0000     0.1550     0.0000
    214       214       3      40438.11       3250.83     498550.15      0.92856      1.51707     0.2420     0.3040     0.2420
    214       214       6      41143.77       3250.83     702808.57      0.92453      0.72362     0.3220     0.3970     0.3220
    214       214       9      42061.29       3250.83     808283.56      0.05921      0.12110     0.9440     0.5150     0.5150
    214       214      12      42635.91       3250.83     767696.06      0.54761      0.44641     0.5710     0.4390     0.4390
    214       214      15      41595.33       3250.83     824362.58      1.08379      0.01351     0.2750     0.5880     0.2750
    215       215       3      50983.81       7002.28     712157.50      0.37976      0.68732     0.6170     0.4940     0.4940
    215       215       6      48326.65       7002.28     854009.43      1.66981     -0.04082     0.0700     0.6140     0.0700
    215       215       9      48377.28       7002.28     789038.64      2.47748      0.38617     0.0090     0.4860     0.0090
    215       215      12      47330.20       7002.28     706956.57      2.85728      1.04536     0.0020     0.2720     0.0020
    215       215      15      47005.86       7002.28     696172.73      3.76299      1.23112     0.0000     0.2050     0.0000
    216       216       3      40825.81       4152.04     397111.86      1.64738      1.98707     0.0190     0.2080     0.0190
    216       216       6      43267.16       4152.04     415372.25      3.09534      2.47261     0.0000     0.0730     0.0000
    216       216       9      40416.89       4152.04     365964.97      3.78661      3.14871     0.0000     0.0100     0.0000
    216       216      12      41769.36       4152.04     422997.11      4.68647      3.08673     0.0000     0.0060     0.0000
    216       216      15      40845.76       4152.04     700324.66      4.16626      1.05239     0.0000     0.2440     0.0000
    217       217       3      59713.93       1133.55     363738.82      1.56871      2.25968     0.0360     0.1720     0.0360
    217       217       6      56833.23       1133.55    1007273.61      1.57249     -0.65088     0.0900     0.7400     0.0900
    217       217       9      53327.79       1133.55     870364.31      2.28340     -0.01503     0.0190     0.5640     0.0190
    217       217      12      51388.27       1133.55     877231.28      3.49553     -0.06687     0.0000     0.5700     0.0000
    217       217      15      50807.74       1133.55     820936.90      3.41525      0.37552     0.0040     0.4140     0.0040
    218       218       3      82030.17      17641.14     354849.09      1.43692      2.28367     0.0510     0.1490     0.0510
    218       218       6      79238.91      17641.14     289982.10      2.67327      3.25347     0.0040     0.0100     0.0040
    218       218       9      77345.94      17641.14     840883.97      2.03973      0.42760     0.0290     0.4360     0.0290
    218       218      12      74869.25      17641.14     825283.21      2.35428      0.58701     0.0100     0.3710     0.0100
    218       218      15      69708.74      17641.14     789401.28      3.01898      0.91115     0.0030     0.3040     0.0030
    219       219       3      31161.91       1309.09    1239089.80      0.67018     -2.20617     0.3790     0.9240     0.3790
